Actual,BRICKFACE,CEMENT,FOLIAGE,GRASS,PATH,SKY,WINDOW
BRICKFACE,8906,18,4,0,0,0,72
CEMENT,406,8051,165,14,148,0,216
FOLIAGE,97,175,7950,0,0,0,778
GRASS,0,0,0,8997,0,0,3
PATH,0,87,0,0,8913,0,0
SKY,0,0,0,0,0,9000,0
WINDOW,752,760,1534,0,0,0,5954
