Actual,BRICKFACE,CEMENT,FOLIAGE,GRASS,PATH,SKY,WINDOW
BRICKFACE,4585,244,2749,0,0,543,879
CEMENT,1817,1765,1733,202,1,1634,1848
FOLIAGE,1537,396,6005,0,30,52,980
GRASS,0,145,0,5871,2736,0,248
PATH,0,0,0,613,8387,0,0
SKY,885,486,300,0,0,6842,487
WINDOW,801,576,1412,1,40,900,5270
