Actual,BRICKFACE,CEMENT,FOLIAGE,GRASS,PATH,SKY,WINDOW
BRICKFACE,8790,0,157,0,0,0,53
CEMENT,240,3350,151,0,4358,0,901
FOLIAGE,90,142,6647,0,333,0,1788
GRASS,90,0,0,8880,0,0,30
PATH,90,588,0,0,8322,0,0
SKY,0,0,0,0,0,9000,0
WINDOW,216,315,2789,0,225,0,5455
