Actual,BRICKFACE,CEMENT,FOLIAGE,GRASS,PATH,SKY,WINDOW
BRICKFACE,8355,350,80,0,0,0,215
CEMENT,570,7834,184,0,225,0,187
FOLIAGE,620,223,2213,0,0,0,5944
GRASS,30,0,35,8840,0,0,95
PATH,0,329,70,0,8601,0,0
SKY,0,956,0,0,0,8044,0
WINDOW,1559,876,561,0,0,0,6004
