Actual,BRICKFACE,CEMENT,FOLIAGE,GRASS,PATH,SKY,WINDOW
BRICKFACE,8858,2,16,0,0,0,124
CEMENT,238,8122,100,5,36,0,499
FOLIAGE,36,12,8359,0,30,0,563
GRASS,0,3,0,8997,0,0,0
PATH,0,1,0,0,8999,0,0
SKY,0,0,0,0,0,9000,0
WINDOW,131,189,960,0,8,0,7712
