Actual,BRICKFACE,CEMENT,FOLIAGE,GRASS,PATH,SKY,WINDOW
BRICKFACE,7041,85,87,18,0,1468,301
CEMENT,3640,1172,794,411,60,1913,1010
FOLIAGE,5464,453,1405,30,14,1017,617
GRASS,578,44,0,8042,265,0,71
PATH,0,121,277,4621,3951,0,30
SKY,1354,57,15,0,0,7554,20
WINDOW,5408,278,384,25,30,2257,618
