,ParzenCompleteView,ParzenRGBView,ParzenShapeView
0,0.9533333333333334,0.7976190476190477,0.6176190476190476
1,0.9547619047619048,0.8,0.6180952380952381
2,0.9519047619047619,0.7995238095238095,0.6147619047619047
3,0.9523809523809523,0.7995238095238095,0.6133333333333333
4,0.9523809523809523,0.8014285714285714,0.6161904761904762
5,0.9552380952380952,0.8004761904761905,0.6152380952380953
6,0.9542857142857143,0.8057142857142857,0.6157142857142858
7,0.9538095238095238,0.8033333333333333,0.6152380952380953
8,0.9528571428571428,0.7976190476190477,0.6209523809523809
9,0.950952380952381,0.8004761904761905,0.6080952380952381
10,0.9504761904761905,0.799047619047619,0.6090476190476191
11,0.9533333333333334,0.7961904761904762,0.6214285714285714
12,0.9552380952380952,0.8019047619047619,0.6214285714285714
13,0.9528571428571428,0.8047619047619048,0.6142857142857143
14,0.9533333333333334,0.8057142857142857,0.6152380952380953
15,0.950952380952381,0.8023809523809524,0.6133333333333333
16,0.9533333333333334,0.8,0.6071428571428571
17,0.9533333333333334,0.8033333333333333,0.6138095238095238
18,0.9533333333333334,0.7980952380952381,0.6104761904761905
19,0.9542857142857143,0.8019047619047619,0.6123809523809524
20,0.9538095238095238,0.8023809523809524,0.6142857142857143
21,0.9538095238095238,0.7976190476190477,0.6204761904761905
22,0.9514285714285714,0.7980952380952381,0.6085714285714285
23,0.9538095238095238,0.800952380952381,0.6157142857142858
24,0.9542857142857143,0.7985714285714286,0.6185714285714285
25,0.9542857142857143,0.8042857142857143,0.6133333333333333
26,0.9523809523809523,0.7980952380952381,0.6090476190476191
27,0.9552380952380952,0.8014285714285714,0.6157142857142858
28,0.9547619047619048,0.8014285714285714,0.6204761904761905
29,0.9476190476190476,0.799047619047619,0.6104761904761905
