GaussianCompleteView,GaussianRGBView,GaussianShapeView,ParzenCompleteView,ParzenRGBView,ParzenShapeView,RegraDaSoma
0.7933333333333333,0.719047619047619,0.47333333333333333,0.9533333333333334,0.7976190476190477,0.6176190476190476,0.9271428571428572
0.7933333333333333,0.7209523809523809,0.4666666666666667,0.9547619047619048,0.8,0.6180952380952381,0.9328571428571428
0.7947619047619048,0.7238095238095238,0.4747619047619048,0.9519047619047619,0.7995238095238095,0.6147619047619047,0.9328571428571428
0.790952380952381,0.7176190476190476,0.4714285714285714,0.9523809523809523,0.7995238095238095,0.6133333333333333,0.9285714285714286
0.7928571428571428,0.7157142857142857,0.47333333333333333,0.9523809523809523,0.8014285714285714,0.6161904761904762,0.9323809523809524
0.7895238095238095,0.7233333333333334,0.4719047619047619,0.9552380952380952,0.8004761904761905,0.6152380952380953,0.9328571428571428
0.7866666666666666,0.72,0.47619047619047616,0.9542857142857143,0.8057142857142857,0.6157142857142858,0.9271428571428572
0.7914285714285715,0.719047619047619,0.4766666666666667,0.9538095238095238,0.8033333333333333,0.6152380952380953,0.929047619047619
0.7885714285714286,0.72,0.4747619047619048,0.9528571428571428,0.7976190476190477,0.6209523809523809,0.9285714285714286
0.789047619047619,0.7238095238095238,0.4723809523809524,0.950952380952381,0.8004761904761905,0.6080952380952381,0.930952380952381
0.7904761904761904,0.7152380952380952,0.4704761904761905,0.9504761904761905,0.799047619047619,0.6090476190476191,0.9295238095238095
0.7966666666666666,0.7195238095238096,0.4704761904761905,0.9533333333333334,0.7961904761904762,0.6214285714285714,0.9285714285714286
0.7961904761904762,0.7161904761904762,0.4719047619047619,0.9552380952380952,0.8019047619047619,0.6214285714285714,0.9333333333333333
0.7952380952380952,0.72,0.47333333333333333,0.9528571428571428,0.8047619047619048,0.6142857142857143,0.9280952380952381
0.790952380952381,0.7161904761904762,0.47333333333333333,0.9533333333333334,0.8057142857142857,0.6152380952380953,0.9328571428571428
0.7928571428571428,0.7161904761904762,0.47,0.950952380952381,0.8023809523809524,0.6133333333333333,0.9314285714285714
0.790952380952381,0.7176190476190476,0.4714285714285714,0.9533333333333334,0.8,0.6071428571428571,0.9295238095238095
0.789047619047619,0.7147619047619047,0.47523809523809524,0.9533333333333334,0.8033333333333333,0.6138095238095238,0.9328571428571428
0.790952380952381,0.7171428571428572,0.47285714285714286,0.9533333333333334,0.7980952380952381,0.6104761904761905,0.93
0.7966666666666666,0.7223809523809523,0.4757142857142857,0.9542857142857143,0.8019047619047619,0.6123809523809524,0.93
0.7895238095238095,0.719047619047619,0.47619047619047616,0.9538095238095238,0.8023809523809524,0.6142857142857143,0.9285714285714286
0.79,0.7157142857142857,0.4766666666666667,0.9538095238095238,0.7976190476190477,0.6204761904761905,0.929047619047619
0.7933333333333333,0.7138095238095238,0.4723809523809524,0.9514285714285714,0.7980952380952381,0.6085714285714285,0.9261904761904762
0.7904761904761904,0.7219047619047619,0.47619047619047616,0.9538095238095238,0.800952380952381,0.6157142857142858,0.9252380952380952
0.790952380952381,0.7171428571428572,0.4723809523809524,0.9542857142857143,0.7985714285714286,0.6185714285714285,0.9328571428571428
0.7952380952380952,0.7209523809523809,0.4685714285714286,0.9542857142857143,0.8042857142857143,0.6133333333333333,0.9323809523809524
0.7933333333333333,0.7185714285714285,0.4680952380952381,0.9523809523809523,0.7980952380952381,0.6090476190476191,0.9295238095238095
0.7895238095238095,0.72,0.4704761904761905,0.9552380952380952,0.8014285714285714,0.6157142857142858,0.930952380952381
0.7938095238095239,0.7214285714285714,0.4738095238095238,0.9547619047619048,0.8014285714285714,0.6204761904761905,0.9280952380952381
0.790952380952381,0.7214285714285714,0.4714285714285714,0.9476190476190476,0.799047619047619,0.6104761904761905,0.9280952380952381
