Actual,BRICKFACE,CEMENT,FOLIAGE,GRASS,PATH,SKY,WINDOW
BRICKFACE,8896,2,21,0,30,0,51
CEMENT,337,8002,136,9,269,0,247
FOLIAGE,89,99,7575,0,510,0,727
GRASS,0,0,0,8998,0,0,2
PATH,0,77,0,0,8923,0,0
SKY,0,0,0,0,0,9000,0
WINDOW,408,420,869,0,94,14,7195
