,GaussianCompleteView,GaussianRGBView,GaussianShapeView
0,0.7933333333333333,0.719047619047619,0.47333333333333333
1,0.7933333333333333,0.7209523809523809,0.4666666666666667
2,0.7947619047619048,0.7238095238095238,0.4747619047619048
3,0.790952380952381,0.7176190476190476,0.4714285714285714
4,0.7928571428571428,0.7157142857142857,0.47333333333333333
5,0.7895238095238095,0.7233333333333334,0.4719047619047619
6,0.7866666666666666,0.72,0.47619047619047616
7,0.7914285714285715,0.719047619047619,0.4766666666666667
8,0.7885714285714286,0.72,0.4747619047619048
9,0.789047619047619,0.7238095238095238,0.4723809523809524
10,0.7904761904761904,0.7152380952380952,0.4704761904761905
11,0.7966666666666666,0.7195238095238096,0.4704761904761905
12,0.7961904761904762,0.7161904761904762,0.4719047619047619
13,0.7952380952380952,0.72,0.47333333333333333
14,0.790952380952381,0.7161904761904762,0.47333333333333333
15,0.7928571428571428,0.7161904761904762,0.47
16,0.790952380952381,0.7176190476190476,0.4714285714285714
17,0.789047619047619,0.7147619047619047,0.47523809523809524
18,0.790952380952381,0.7171428571428572,0.47285714285714286
19,0.7966666666666666,0.7223809523809523,0.4757142857142857
20,0.7895238095238095,0.719047619047619,0.47619047619047616
21,0.79,0.7157142857142857,0.4766666666666667
22,0.7933333333333333,0.7138095238095238,0.4723809523809524
23,0.7904761904761904,0.7219047619047619,0.47619047619047616
24,0.790952380952381,0.7171428571428572,0.4723809523809524
25,0.7952380952380952,0.7209523809523809,0.4685714285714286
26,0.7933333333333333,0.7185714285714285,0.4680952380952381
27,0.7895238095238095,0.72,0.4704761904761905
28,0.7938095238095239,0.7214285714285714,0.4738095238095238
29,0.790952380952381,0.7214285714285714,0.4714285714285714
